customer_id,total_spend,avg_spend,max_spend,previous_purchases,avg_review_rating,age,gender,location,subscription_status,preferred_payment,preferred_shipping,category_diversity,product_diversity,discount_orders,promo_orders,purchase_frequency,aov,total_transactions,repeat_customer_flag,promo_dependency_score,satisfaction_flag,spend_score,frequency_score,purchase_history_score,value_score,value_tier,organic_spend,organic_spend_ratio,avg_discount_spend,avg_non_discount_spend,discount_sensitivity_score,high_margin_customer,organic_demand_score,risk_flag,loyalty_score_1,review_score_normalized,low_promo_score,loyalty_score_2,loyalty1_group,loyalty2_group,customer_segment,strategic_segment,Season,Category
1,53,53.0,53,14,3.1,55,Male,Kentucky,Yes,Venmo,Express,1,1,1,1,Fortnightly,3.79,1,0,1.0,Unsatisfied,0.4125000000000001,0.0,0.2653061224489795,25.93,Silver,0.0,0.0,53.0,0.0,1.0,No,16.5,High Risk,10.61,0.2400000000000002,0.0,23.7,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
2,64,64.0,64,2,3.1,19,Male,Maine,Yes,Cash,Express,1,1,1,1,Fortnightly,32.0,1,0,1.0,Unsatisfied,0.55,0.0,0.0204081632653061,27.91,Silver,0.0,0.0,64.0,0.0,1.0,No,22.0,High Risk,0.82,0.2400000000000002,0.0,29.2,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
3,73,73.0,73,23,3.1,50,Male,Massachusetts,Yes,Credit Card,Free Shipping,1,1,1,1,Weekly,3.17,1,0,1.0,Unsatisfied,0.6625000000000001,0.0,0.4489795918367346,42.1,Gold,0.0,0.0,73.0,0.0,1.0,No,26.5,High Risk,17.96,0.2400000000000002,0.0,33.7,Medium,Low,Discount Hunters,Promo Locked,Spring,Clothing
4,90,90.0,90,49,3.5,21,Male,Rhode Island,Yes,Paypal,Next Day Air,1,1,1,1,Weekly,1.84,1,0,1.0,Unsatisfied,0.875,0.0,0.9795918367346936,63.34,Platinum,0.0,0.0,90.0,0.0,1.0,No,35.0,Low Risk,39.18,0.4000000000000001,0.0,47.0,High,Medium,Discount Hunters,Promo Locked,Spring,Footwear
5,49,49.0,49,31,2.7,45,Male,Oregon,Yes,Paypal,Free Shipping,1,1,1,1,Annually,1.58,1,0,1.0,Unsatisfied,0.3625,0.0,0.6122448979591836,30.37,Silver,0.0,0.0,49.0,0.0,1.0,No,14.5,High Risk,24.49,0.08,0.0,16.9,Medium,Low,Discount Hunters,Promo Locked,Spring,Clothing
6,20,20.0,20,14,2.9,46,Male,Wyoming,Yes,Venmo,Standard,1,1,1,1,Weekly,1.43,1,0,1.0,Unsatisfied,0.0,0.0,0.2653061224489795,5.31,Bronze,0.0,0.0,20.0,0.0,1.0,No,0.0,High Risk,10.61,0.1599999999999999,0.0,4.8,Low,Low,Discount Hunters,Promo Locked,Summer,Footwear
7,85,85.0,85,49,3.2,63,Male,Montana,Yes,Cash,Free Shipping,1,1,1,1,Quarterly,1.73,1,0,1.0,Unsatisfied,0.8125,0.0,0.9795918367346936,60.22,Platinum,0.0,0.0,85.0,0.0,1.0,No,32.5,High Risk,39.18,0.2800000000000002,0.0,40.9,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
8,34,34.0,34,19,3.2,27,Male,Louisiana,Yes,Credit Card,Free Shipping,1,1,1,1,Weekly,1.79,1,0,1.0,Unsatisfied,0.175,0.0,0.3673469387755101,16.1,Bronze,0.0,0.0,34.0,0.0,1.0,No,7.0,High Risk,14.69,0.2800000000000002,0.0,15.4,Medium,Low,Discount Hunters,Promo Locked,Winter,Clothing
9,97,97.0,97,8,2.6,26,Male,West Virginia,Yes,Venmo,Express,1,1,1,1,Annually,12.12,1,0,1.0,Unsatisfied,0.9625,0.0,0.1428571428571428,50.98,Platinum,0.0,0.0,97.0,0.0,1.0,No,38.5,High Risk,5.71,0.04,0.0,39.7,Low,Low,Discount Hunters,Promo Locked,Summer,Outerwear
10,31,31.0,31,4,4.8,57,Male,Missouri,Yes,Cash,2-Day Shipping,1,1,1,1,Quarterly,7.75,1,0,1.0,Unsatisfied,0.1375,0.0,0.0612244897959183,8.1,Bronze,0.0,0.0,31.0,0.0,1.0,No,5.5,Low Risk,2.45,0.92,0.0,33.1,Low,Low,Discount Hunters,Promo Locked,Spring,Accessories
11,34,34.0,34,26,4.1,53,Male,Arkansas,Yes,Bank Transfer,Store Pickup,1,1,1,1,Bi-Weekly,1.31,1,0,1.0,Unsatisfied,0.175,0.0,0.510204081632653,18.95,Bronze,0.0,0.0,34.0,0.0,1.0,No,7.0,Low Risk,20.41,0.6399999999999999,0.0,26.2,Medium,Low,Discount Hunters,Promo Locked,Fall,Footwear
12,68,68.0,68,10,4.9,30,Male,Hawaii,Yes,Bank Transfer,Store Pickup,1,1,1,1,Fortnightly,6.8,1,0,1.0,Unsatisfied,0.6000000000000001,0.0,0.183673469387755,33.67,Silver,0.0,0.0,68.0,0.0,1.0,No,24.0,Low Risk,7.35,0.9600000000000002,0.0,52.8,Low,Medium,Discount Hunters,Promo Locked,Winter,Clothing
13,72,72.0,72,37,4.5,61,Male,Delaware,Yes,Venmo,Express,1,1,1,1,Fortnightly,1.95,1,0,1.0,Unsatisfied,0.65,0.0,0.7346938775510203,47.19,Gold,0.0,0.0,72.0,0.0,1.0,No,26.0,Low Risk,29.39,0.8,0.0,50.0,High,Medium,Discount Hunters,Promo Locked,Winter,Outerwear
14,51,51.0,51,31,4.7,65,Male,New Hampshire,Yes,Paypal,Express,1,1,1,1,Weekly,1.65,1,0,1.0,Unsatisfied,0.3875,0.0,0.6122448979591836,31.62,Silver,0.0,0.0,51.0,0.0,1.0,No,15.5,Low Risk,24.49,0.8800000000000001,0.0,41.9,Medium,Low,Discount Hunters,Promo Locked,Spring,Clothing
15,53,53.0,53,34,4.7,64,Male,New York,Yes,Debit Card,Free Shipping,1,1,1,1,Weekly,1.56,1,0,1.0,Unsatisfied,0.4125000000000001,0.0,0.673469387755102,34.09,Silver,0.0,0.0,53.0,0.0,1.0,No,16.5,Low Risk,26.94,0.8800000000000001,0.0,42.9,High,Medium,Discount Hunters,Promo Locked,Winter,Outerwear
16,81,81.0,81,8,2.8,64,Male,Rhode Island,Yes,Paypal,Store Pickup,1,1,1,1,Monthly,10.12,1,0,1.0,Unsatisfied,0.7625,0.0,0.1428571428571428,40.98,Gold,0.0,0.0,81.0,0.0,1.0,No,30.5,High Risk,5.71,0.1199999999999998,0.0,34.1,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
17,36,36.0,36,44,4.1,25,Male,Alabama,Yes,Debit Card,Next Day Air,1,1,1,1,Bi-Weekly,0.82,1,0,1.0,Unsatisfied,0.2,0.0,0.8775510204081631,27.55,Silver,0.0,0.0,36.0,0.0,1.0,No,8.0,Low Risk,35.1,0.6399999999999999,0.0,27.2,High,Low,Discount Hunters,Promo Locked,Spring,Accessories
